Item,Frequency
",",710224904
il,510100138
di,496826617
.,464277486
e,352470372
la,336336720
essere,335465918
del,266161871
che,224434469
in,193171777
a,177451498
per,171851957
della,147669215
un,144424940
"""",143355573
avere,131369873
al,126612392
una,117763977
non,107386580
con,105403084
da,102742015
si,91542833
nel,86937428
:,79886180
),79250845
(,74629824
alla,66952140
questo,62882074
dal,54567064
potere,51158649
fare,50824973
più,50662730
come,50522693
anche,46930751
ma,46619144
o,39817478
nella,39365725
'',38738657
tutto,36602366
-,36596864
se,33675198
sul,30813957
ad,29844299
...,29307801
!,29097741
ed,28349095
dalla,27940958
?,27683462
;,26910362
anno,26499692
quello,25972497
dovere,25528265
2,25361664
altro,25294632
cui,23152756
su,23115229
primo,22525086
ci,22213758
tra,21749036
molto,21664908
solo,21155729
venire,20881140
dire,20766327
mi,20261160
sulla,19009889
nuovo,18844299
parte,18298462
grande,16956902
andare,16655484
loro,16567775
volere,16095479
sua,15759455
–,15590258
sempre,15357321
dopo,14910927
stesso,14633615
uno,14622151
suo,14543072
ora,14502400
tempo,14259199
perché,14075601
quando,14020536
cosa,13884990
poi,13860512
trovare,13804087
stare,13641110
secondo,13264410
lo,13210664
3,13078865
ogni,12996404
senza,12756345
dare,12728079
giorno,12461011
così,12197521
volta,11984979
proprio,11716430
ancora,11672448
sapere,11594873
vedere,11480302
quanto,11309146
alcun,11059800
caso,10966466
modo,10873221
quindi,10617012
vita,10496864
dove,10303316
tanto,10283540
chi,10176129
io,10175289
già,10082753
c'',9957821
persona,9921839
italiano,9844466
via,9739250
lavoro,9731642
mettere,9574624
diverso,9547751
/,9498035
poco,9493861
ne,9463667
punto,9340774
ultimo,9228155
italia,9196300
servizio,9155213
quale,9128614
casa,8839479
mondo,8838644
oggi,8610207
piccolo,8606425
prendere,8403740
1,8314332
4,8201610
pubblico,8164571
portare,8062073
%,8038197
fino,7975625
oltre,7898420
fine,7741199
bene,7738254
pensare,7678200
parlare,7674920
ti,7630217
attività,7535578
grazie,7467313
tutti,7454185
vi,7415208
mai,7376379
noi,7346031
possibile,7305379
5,7255405
sistema,7159184
tale,7149940
buono,7125742
storia,7087055
città,7053426
mentre,7034479
comune,7019607
arrivare,6996273
momento,6894535
qui,6872780
progetto,6859679
interno,6823811
prima,6823116
problema,6807677
importante,6752091
invece,6732404
qualche,6653919
quella,6639463
utilizzare,6606383
prodotto,6592961
però,6581033
nostro,6540005
centro,6534917
scrivere,6501031
vero,6445588
rendere,6424557
cercare,6337427
alto,6299700
mio,6294811
meno,6283370
corso,6245062
particolare,6224495
],6183476
riuscire,6175296
gruppo,6145708
[,6135076
quali,6126143
mese,6117486
me,6112316
presentare,6097211
suoi,6094537
infatti,6081239
lungo,6078449
presente,6063448
tenere,6041674
usare,6014236
paese,5972510
lasciare,5967321
verso,5967010
sito,5925410
chiedere,5875332
bello,5867318
sembrare,5830357
base,5819399
10,5796301
politico,5792875
diventare,5766166
euro,5744947
certo,5744503
rispetto,5692518
contro,5659846
ciò,5637489
unico,5632971
mia,5632047
durante,5625900
livello,5606341
fatto,5606118
legge,5553128
esempio,5548709
nazionale,5531681
trattare,5500085
ricerca,5497041
passare,5494888
lui,5459865
attraverso,5445489
sotto,5443431
numero,5413810
nostra,5406484
circa,5393263
piano,5372916
sentire,5329263
tipo,5320589
vivere,5284898
soprattutto,5266808
creare,5250096
studio,5222103
leggere,5210816
donna,5209323
presidente,5168096
seguire,5127406
realizzare,5120973
conoscere,5106331
scuola,5088647
informazione,5049057
famiglia,5038651
ricordare,5020412
opera,5019824
offrire,5018089
forma,5011690
presso,4995920
diritto,4922517
posto,4922131
dato,4919712
de,4899602
insieme,4893681
n,4871126
bambino,4869313
necessario,4864226
permettere,4849944
quasi,4844088
vario,4824128
nome,4812544
rimanere,4810994
acqua,4796793
inoltre,4794310
azienda,4788412
sociale,4778897
continuare,4773825
società,4768090
giovane,4758696
roma,4738727
ben,4735572
capire,4732092
area,4683495
credere,4675004
parola,4669619
fra,4656660
spesso,4619352
stato,4613870
sue,4603442
luogo,4600072
senso,4579571
comunque,4565158
meglio,4549281
territorio,4505195
esperienza,4488872
quelli,4468556
zona,4466023
l,4463157
nascere,4454714
forse,4450323
termine,4448394
po,4443842
iniziare,4424106
locale,4411640
consiglio,4405902
uomo,4396497
europeo,4380985
san,4379175
mano,4357066
generale,4355465
risultato,4355248
libro,4344069
chiamare,4295466
campo,4280925
personale,4267446
ottenere,4252408
articolo,4246514
aprire,4232875
serie,4231226
tuo,4224492
mezzo,4203305
allora,4203157
programma,4203001
valore,4195778
strada,4171399
qualità,4170123
grado,4167498
intervento,4131440
forza,4108708
periodo,4103999
settore,4101108
regione,4100997
troppo,4099113
considerare,4098601
dedicare,4089276
gioco,4078625
rapporto,4031237
economico,4028318
effetto,4012309
scegliere,4010819
massimo,3992678
mercato,3990910
uso,3950609
rappresentare,3938450
evento,3928130
svolgere,3910353
situazione,3908513
idea,3896117
struttura,3889463
realtà,3886802
gli,3878809
possibilità,3865324
spazio,3855627
no,3833655
governo,3830704
lavorare,3826767
perdere,3818425
raggiungere,3815298
piacere,3811736
titolo,3808715
tornare,3801001
storico,3791333
condizione,3788817
li,3785168
chiesa,3778331
prezzo,3775385
8,3774398
vista,3767268
riguardare,3762465
terra,3759701
tecnico,3745176
film,3743711
forte,3739620
6,3705253
semplice,3666599
associazione,3666357
decidere,3662056
principale,3656361
sviluppo,3655089
azione,3647678
proporre,3622541
partire,3618670
perchè,3616656
internazionale,3616409
scelta,3616145
immagine,3603989
consentire,3603201
aggiungere,3592570
amico,3572044
relativo,3560486
nostri,3541366
entrare,3539775
incontro,3529960
provare,3529327
lei,3528472
comprendere,3528277
previsto,3516917
tema,3500974
figlio,3497884
regionale,3496759
linea,3494783
settimana,3474025
servire,3467514
fuori,3458962
modello,3451705
cambiare,3450753
cittadino,3438109
almeno,3429850
prossimo,3414901
corpo,3413622
colore,3396994
processo,3389592
presenza,3389317
ambiente,3389201
umano,3377082
sicurezza,3376210
terzo,3369806
fa,3358974
milano,3350845
strumento,3333731
domanda,3330304
percorso,3329557
30,3327174
occasione,3321486
rete,3306667
fondo,3300411
ordine,3282545
atto,3279772
altri,3273285
pubblicare,3260654
15,3254941
20,3249790
col,3244680
produzione,3244057
basso,3236991
guardare,3221439
sia,3214958
davvero,3212680
visto,3212602
obiettivo,3198232
inizio,3192317
controllo,3190005
interesse,3182305
esistere,3177025
qualcosa,3176864
art,3172114
milione,3163796
futuro,3157530
disponibile,3156143
materiale,3152422
fornire,3144604
dio,3140662
richiesta,3133973
guerra,3127925
impresa,3123597
luce,3121581
aiutare,3119721
soluzione,3118863
settembre,3118051
scoprire,3117112
....,3113236
sede,3113039
7,3111371
posizione,3105182
pagina,3101596
giornata,3100134
spiegare,3094326
amore,3090163
libero,3085254
gestione,3082741
attenzione,3074445
oggetto,3068535
formazione,3063106
te,3062432
ottobre,3059705
porre,3037954
cura,3026811
maggio,3021638
organizzare,3014050
costo,3013213
bisogno,3007956
uscire,3006830
subito,3001158
richiedere,2999918
oppure,2990183
mare,2979747
provincia,2978275
funzione,2976970
propria,2967141
12,2967075
foto,2964644
effettuare,2963161
cioè,2961781
giusto,2956318
tu,2955530
contenere,2953871
ottimo,2940193
restare,2939909
°,2933301
ragazzo,2932407
finire,2927449
fase,2920876
partecipare,2918208
rischio,2917482
ormai,2914488
ricevere,2909934
risposta,2908867
100,2908137
relazione,2904448
avvenire,2902812
aspetto,2902463
ruolo,2889492
cuore,2888972
minuto,2888818
seguito,2880724
causa,2878301
cultura,2876879
nulla,2874542
naturale,2869259
antico,2868606
le,2858482
9,2854110
unire,2848306
musica,2846088
produrre,2843325
parere,2842619
giugno,2842536
vicino,2828046
riferimento,2826890
arte,2821682
soggetto,2819819
garantire,2813819
culturale,2810819
ambito,2809666
the,2803622
elemento,2802883
testo,2802610
misura,2799749
scorso,2798655
camera,2791993
conto,2786660
disposizione,2785504
occhio,2784324
costituire,2773641
tua,2767416
ecco,2764166
vecchio,2763035
c,2761036
privato,2755754
inserire,2749839
ritenere,2746455
bianco,2742992
quelle,2742972
confronto,2738135
dicembre,2736009
marzo,2726179
fronte,2721702
bastare,2719603
autore,2714176
specifico,2713473
europa,2711201
chiaro,2701570
motivo,2699616
qualsiasi,2698666
medico,2687623
secolo,2686926
sostenere,2683639
definire,2680581
voi,2675061
costruire,2671610
cliente,2667646
pieno,2664721
risultare,2661589
finale,2659639
iniziativa,2657850
questione,2654973
utile,2653724
viaggio,2647089
piazza,2646232
luglio,2643748
natura,2641067
indicare,2640902
rispondere,2639187
intero,2609107
evitare,2605908
raccontare,2602699
data,2600286
ufficio,2586406
rosso,2570111
precedente,2568083
difficile,2567141
ex,2564660
movimento,2561218
voce,2558982
aprile,2554623
proposta,2548375
mostrare,2547640
partito,2541979
genera,2541028
utente,2540594
guida,2530910
sole,2528585
prova,2523188
numeroso,2521122
passo,2521018
università,2513853
uomini,2503206
dunque,2502278
carta,2501602
bisognare,2487555
novembre,2482158
prevedere,2477277
superiore,2467735
squadra,2453148
classe,2450259
padre,2449000
appena,2448875
ragione,2445014
gennaio,2444915
stagione,2443958
amare,2433841
noto,2431565
capacità,2427379
amministrazione,2426868
cominciare,2422935
tuttavia,2417462
auto,2417073
breve,2416254
accordo,2409061
nessun,2405566
esterno,2403231
ridurre,2394122
comunale,2389492
dimostrare,2384715
trattamento,2383186
singolo,2378406
vincere,2376782
medio,2375273
riconoscere,2362766
chiudere,2362002
video,2358340
giocare,2357660
lavorio,2357403
intendere,2357225
mantenere,2349895
morta,2344297
collaborazione,2336075
nessuno,2326567
nero,2315489
ampio,2313737
esprimere,2310523
notte,2302858
18,2302062
versione,2300594
conoscenza,2300393
gara,2294502
11,2288974
successivo,2285883
€,2283610
affrontare,2281830
civile,2281703
sviluppare,2277118
aspettare,2276882
spesa,2273973
&,2269080
aumentare,2263180
mancare,2260132
successo,2259712
documento,2258837
impianto,2257832
occupare,2257061
buon,2255303
niente,2252502
edizione,2248164
contenuto,2247894
sezione,2247645
fondamentale,2246567
dimensione,2245610
speciale,2243052
comunità,2242372
nonostante,2241391
comunicazione,2235065
web,2233687
sopra,2232429
domenica,2231472
tramite,2227226
energia,2222932
organizzazione,2221132
età,2219908
riportare,2218134
metro,2217503
centrale,2214093
vendita,2212929
capo,2208394
stile,2207036
visita,2192777
fisico,2191830
facile,2188580
santo,2188091
salute,2185141
assumere,2184726
gran,2176812
inviare,2176351
materia,2175466
sì,2175332
qualcuno,2165584
né,2164237
commissione,2147965
paziente,2142528
norma,2135481
pagare,2134106
25,2132510
24,2131010
maria,2128578
totale,2124866
acquistare,2124763
migliore,2124377
condividere,2123112
attuale,2115138
agosto,2113955
testa,2113424
applicazione,2112734
sicuro,2112282
passato,2108719
sperare,2107063
professionale,2104224
febbraio,2103658
protagonista,2094704
direttamente,2093481
=,2085845
d,2085403
legare,2084540
ciao,2083445
pratica,2081607
personaggio,2080742
mondiale,2078671
stampa,2078605
istituto,2077837
sabato,2077760
coinvolgere,2074447
studente,2071279
contratto,2071239
offerta,2071114
14,2069603
sicuramente,2067774
completo,2063911
categoria,2063403
risorsa,2060695
morire,2060590
diretto,2058985
pronto,2056733
50,2056531
reale,2056233
resto,2055109
analisi,2051630
online,2046675
affermare,2044050
rivolgere,2039139
complesso,2038796
operazione,2038205
sindaco,2032500
13,2032493
entro,2029809
hotel,2029136
utilizzo,2028156
teatro,2026607
maggior,2021997
porta,2021548
preparare,2019262
infine,2014721
seguente,2012222
interessante,2010574
differenza,1996085
apparire,1995445
adesso,1994936
maniera,1994929
16,1991659
gestire,1989274
significare,1989101
originale,1988942
disporre,1988001
nostre,1986895
magari,1986546
2019,1986326
ufficiale,1982184
ovviamente,1979156
raccogliere,1978053
sera,1976319
codice,1975620
ricco,1975536
concludere,1974184
simile,1969344
origine,1969147
pur,1968851
parco,1965235
superare,1963622
tecnologia,1963222
giovanni,1962997
malattia,1962822
piede,1962103
s.,1959156
giro,1958817
guidare,1958553
esigenza,1954948
b,1954023
macchina,1952302
comporre,1950093
responsabile,1950039
politica,1949585
impegno,1948031
attivo,1944593
lingua,1940026
notizia,1936310
crescere,1933730
incontrare,1932013
soltanto,1928254
direttore,1926952
verde,1924946
francesco,1923735
crisi,1920390
caratteristica,1918652
classico,1916595
|,1911946
ulteriore,1911621
animale,1909437
avanti,1909405
premio,1908836
dichiarare,1907934
confermare,1907651
pure,1889468
pensiero,1887806
km,1882799
contatto,1879741
questa,1874556
modalità,1870904
palazzo,1869844
interessare,1868453
condurre,1866950
minimo,1866149
accesso,1859364
verificare,1858021
partita,1850004
madre,1847715
migliorare,1846281
vistare,1846079
difficoltà,1845769
moderno,1844290
ieri,1842033
regola,1841306
entrambi,1839768
accompagnare,1838769
davanti,1834440
aperto,1834114
fonte,1833839
lavoratore,1833488
aria,1830898
registrare,1829248
festa,1828093
specie,1826907
tradizione,1825915
direzione,1824932
peso,1824771
limite,1823971
pario,1823608
necessità,1821781
•,1817923
p,1817391
of,1813321
lato,1811713
gente,1810179
danno,1807512
perfetto,1801398
ovvero,1799891
banca,1799855
17,1797963
scopo,1796028
paolo,1795534
crescita,1795275
2015,1792614
realizzazione,1792350
positivo,1791046
museo,1789983
miei,1787593
cucina,1785776
notare,1783774
applicare,1781613
lettera,1781176
competenza,1780081
ingresso,1777763
2016,1777435
scena,1775064
commerciale,1774902
dell,1774387
ente,1773497
contributo,1773459
vino,1773151
piuttosto,1767645
artista,1767558
metodo,1760757
recente,1753700
messaggio,1752678
grave,1752260
eseguire,1749578
costruzione,1749509
libertà,1749251
partecipazione,1748976
ministro,1748082
giungere,1742169
finanziario,1741119
militare,1738889
eventuale,1735939
internet,1728127
lontano,1728050
nord,1723042
popolo,1722213
email,1719063
21,1718479
famoso,1714928
essa,1714442
caro,1710792
x,1708999
procedura,1707842
1000,1706180
sinistra,1705892
inglese,1703989
campagna,1703442
propri,1701800
americano,1698564
unità,1698446
isola,1698340
fermare,1697195
manifestazione,1696079
continuo,1694466
colpire,1693674
conseguenza,1692191
signore,1687911
economia,1687547
scientifico,1686225
esame,1685072
formare,1684364
acquisto,1681191
succedere,1679280
ritrovare,1675835
solito,1674944
completamente,1672492
dentro,1671692
2018,1669516
ce,1668512
2014,1666378
19,1666237
metà,1664730
proprietà,1664259
sanitario,1663985
probabilmente,1663557
passaggio,1662527
figura,1660933
napoli,1659832
aiuto,1655701
valutazione,1651170
pelle,1649749
distanza,1649585
2013,1647064
stabilire,1645835
proseguire,1644640
accadere,1644044
trasformare,1641279
vostro,1641089
purtroppo,1640169
sportivo,1637482
ideale,1635928
decreto,1634478
popolazione,1634056
veramente,1633565
2012,1630513
caratterizzare,1627708
vendere,1627318
mangiare,1627034
sud,1616380
quota,1616283
spettacolo,1614923
romano,1610616
dubbio,1607408
commento,1606901
sé,1606250
piu,1606169
gratuito,1603665
segno,1594556
dolore,1594295
esperto,1593725
impegnare,1591027
osservare,1588378
membro,1586359
voto,1585496
*,1577221
sala,1576358
carico,1573570
francese,1572912
decisione,1572265
carattere,1569935
caldo,1569566
comma,1567958
promuovere,1567929
ministero,1566741
funzionare,1566096
capitale,1565118
intervenire,1563794
pagamento,1560874
2017,1558685
tecnica,1556661
